id,Category,Wasted_or_Not,Count
1,Agricultural Waste,Waste,1
2,Agricultural Waste,Waste,1
3,Agricultural Waste,Waste,1
4,Agricultural Waste,Waste,1
5,Agricultural Waste,Waste,1
6,Agricultural Waste,Waste,1
7,Agricultural Waste,Waste,1
8,Agricultural Waste,Waste,1
9,Agricultural Waste,Waste,1
10,Agricultural Waste,Waste,1
11,Agricultural Waste,Waste,1
12,Agricultural Waste,Waste,1
13,Agricultural Waste,Waste,1
14,Agricultural Waste,Waste,1
15,Agricultural Waste,Waste,1
16,Agricultural Waste,Waste,1
17,Agricultural Waste,Waste,1
18,Agricultural Waste,Waste,1
19,Agricultural Waste,Waste,1
20,Agricultural Waste,Waste,1
21,Post-Harvest Waste,Waste,1
22,Post-Harvest Waste,Waste,1
23,Post-Harvest Waste,Waste,1
24,Processing Waste,Waste,1
25,Processing Waste,Waste,1
26,Distribution Waste,Waste,1
27,Distribution Waste,Waste,1
28,Distribution Waste,Waste,1
29,Distribution Waste,Waste,1
30,Distribution Waste,Waste,1
31,Distribution Waste,Waste,1
32,Distribution Waste,Waste,1
33,Distribution Waste,Waste,1
34,Distribution Waste,Waste,1
35,Consumption Waste,Waste,1
36,Consumption Waste,Waste,1
37,Consumption Waste,Waste,1
38,Consumption Waste,Waste,1
39,Consumption Waste,Waste,1
40,Consumption Waste,Waste,1
41,Consumption Waste,Waste,1
42,Consumption Waste,Waste,1
43,Consumption Waste,Waste,1
44,Consumption Waste,Waste,1
45,Consumption Waste,Waste,1
46,Consumption Waste,Waste,1
47,Consumption Waste,Waste,1
48,Consumption Waste,Waste,1
49,Consumption Waste,Waste,1
50,Consumption Waste,Waste,1
51,Consumption Waste,Waste,1
52,Consumption Waste,Waste,1
53,Consumed,Not Wasted,1
54,Consumed,Not Wasted,1
55,Consumed,Not Wasted,1
56,Consumed,Not Wasted,1
57,Consumed,Not Wasted,1
58,Consumed,Not Wasted,1
59,Consumed,Not Wasted,1
60,Consumed,Not Wasted,1
61,Consumed,Not Wasted,1
62,Consumed,Not Wasted,1
63,Consumed,Not Wasted,1
64,Consumed,Not Wasted,1
65,Consumed,Not Wasted,1
66,Consumed,Not Wasted,1
67,Consumed,Not Wasted,1
68,Consumed,Not Wasted,1
69,Consumed,Not Wasted,1
70,Consumed,Not Wasted,1
71,Consumed,Not Wasted,1
72,Consumed,Not Wasted,1
73,Consumed,Not Wasted,1
74,Consumed,Not Wasted,1
75,Consumed,Not Wasted,1
76,Consumed,Not Wasted,1
77,Consumed,Not Wasted,1
78,Consumed,Not Wasted,1
79,Consumed,Not Wasted,1
80,Consumed,Not Wasted,1
81,Consumed,Not Wasted,1
82,Consumed,Not Wasted,1
83,Consumed,Not Wasted,1
84,Consumed,Not Wasted,1
85,Consumed,Not Wasted,1
86,Consumed,Not Wasted,1
87,Consumed,Not Wasted,1
88,Consumed,Not Wasted,1
89,Consumed,Not Wasted,1
90,Consumed,Not Wasted,1
91,Consumed,Not Wasted,1
92,Consumed,Not Wasted,1
93,Consumed,Not Wasted,1
94,Consumed,Not Wasted,1
95,Consumed,Not Wasted,1
96,Consumed,Not Wasted,1
97,Consumed,Not Wasted,1
98,Consumed,Not Wasted,1
99,Consumed,Not Wasted,1
100,Consumed,Not Wasted,1