State,Year,Waste (MtCO2e)
AL,2014,5.457024247
AK,2014,0.468136467
AZ,2014,1.896407064
AR,2014,3.028352277
CA,2014,30.77398532
CO,2014,3.978280269
CT,2014,2.877269058
DE,2014,0.598544701
DC,2014,0.072901217
FL,2014,18.57613322
GA,2014,7.236818263
HI,2014,1.927796032
ID,2014,0.951833942
IL,2014,13.55306986
IN,2014,6.472855952
IA,2014,2.540909261
KS,2014,3.476988615
KY,2014,5.111109723
LA,2014,3.984059297
ME,2014,0.6962299
MD,2014,5.449572643
MA,2014,4.94458918
MI,2014,11.93068621
MN,2014,4.382593014
MS,2014,2.902934363
MO,2014,5.626658096
MT,2014,0.667695187
NE,2014,1.382962686
NV,2014,1.51592025
NH,2014,0.0429323
NJ,2014,7.458110616
NM,2014,1.703934212
NY,2014,16.430272
NC,2014,8.636096327
ND,2014,0.398736168
OH,2014,11.68926278
OK,2014,4.42892125
OR,2014,2.449846043
PA,2014,11.82387699
RI,2014,-0.722404803
SC,2014,3.383568852
SD,2014,0.593165143
TN,2014,5.436369857
TX,2014,23.07810065
UT,2014,1.5830846
VT,2014,-0.295048692
VA,2014,8.005501654
WA,2014,3.427680857
WV,2014,1.849975946
WI,2014,2.973149346
WY,2014,0.487152203
US,2014,267.3446006